20220517	16:06:41	ec529e8b-0f57-4946-af89-7f3f1f89917a	GET	http://localhost:3000	/refresh
20220517	16:06:41	452546ba-d9db-4b3d-a4f0-5e0d4b23eada	GET	http://localhost:3000	/refresh
20220517	16:06:50	e02986fc-d03e-4e33-bb11-ddcf7c946e45	GET	http://localhost:3000	/refresh
20220517	16:06:50	1d5f1057-7b81-48c6-ae9d-e82d9018d3d2	GET	http://localhost:3000	/refresh
20220517	16:15:20	59f040ad-069b-4069-8fb2-f8147613463f	GET	http://localhost:3000	/refresh
20220517	16:15:20	ce681bd5-5425-4c8f-97e9-fcba1f4a4cdc	GET	http://localhost:3000	/refresh
20220517	16:16:21	485eae8b-904c-4a05-a31a-9f22ec0fcaf6	GET	http://localhost:3000	/refresh
20220517	16:16:21	00ce95ed-9975-47ee-90d8-e488052e91cf	GET	http://localhost:3000	/refresh
20220517	16:16:23	7353f4b7-9224-473e-9fe2-f3526ca7adb7	GET	http://localhost:3000	/logout
20220517	16:16:24	cc287507-e58f-4e5b-96f0-5221b4561b68	GET	http://localhost:3000	/refresh
20220517	16:16:24	a635d333-528b-4113-b78e-e00274e35cc4	GET	http://localhost:3000	/refresh
20220517	16:16:25	21951acc-1f0a-47e9-8b42-c6ce30899578	OPTIONS	http://localhost:3000	/auth
20220517	16:16:25	e6e54166-fd6a-4775-b0e6-017b7c5bd3db	POST	http://localhost:3000	/auth
20220517	16:16:28	976e1d25-270d-433d-9a38-7e538dbbc054	GET	http://localhost:3000	/refresh
20220517	16:16:28	f8dd2a74-f56b-4161-9bbc-bf58152c50f5	GET	http://localhost:3000	/refresh
20220517	16:17:12	d0e7604d-9c96-4005-acbf-335ccb2c9db9	GET	http://localhost:3000	/logout
20220517	16:17:12	793aa820-3f95-4bc9-bc4d-2c216db7878c	GET	http://localhost:3000	/refresh
20220517	16:17:12	9dfe21c1-dab1-43dd-9d95-55f7137bb1d4	GET	http://localhost:3000	/refresh
20220517	16:21:43	228f43da-160d-4a33-b9fb-1278d4b1a682	OPTIONS	http://localhost:3000	/auth
20220517	16:21:43	3e5bf228-2bbb-4ad4-b399-a2c7cfe13341	POST	http://localhost:3000	/auth
20220517	16:21:45	54eec62f-2f94-43f8-8de8-45c2896772c7	GET	http://localhost:3000	/refresh
20220517	16:21:45	70eecff2-1f3d-4abb-8a81-a5d714cd6591	GET	http://localhost:3000	/refresh
20220517	16:21:47	c4e63243-5dd5-4383-9d45-59e2dc3aa0c9	GET	http://localhost:3000	/refresh
20220517	16:21:47	827092bd-7f43-4e60-b608-43ffba4a7526	GET	http://localhost:3000	/refresh
20220517	16:21:47	e1da5ba2-cad2-40c6-88a4-b1b946f1c848	OPTIONS	http://localhost:3000	/users
20220517	16:21:47	af9ff2f3-1103-4858-b9f6-81d898ea0b3a	GET	http://localhost:3000	/users
20220517	16:21:49	8b5370a1-aeab-483d-8cf2-b4c88a7d9a68	GET	http://localhost:3000	/refresh
20220517	16:21:49	a6942eec-e370-4c19-ae3f-808504506870	GET	http://localhost:3000	/refresh
